"Cart Product ID","SKU","Product","Price","hsCode","country","Weight","Length","Width","Height",
"#47134187815202","PTRBGR3918S-2","Blumat Regular Carrot - Without Tubing & T Piece","8.00","","","0.1","0","0","0",
"#45294938882338","PBLBGR3914S","Blumat Supply Hose 8mm Black, 10m","25.00","","","0.4","0","0","0",
"#44591787901218","PBLBGR3246S","Blumat Supply Hose 8mm White, 10m","35.00","","","0.4","0","0","0",
"#44591788228898","PBLBGR3253S","Blumat T Junction for 8mm Tubing to 3mm Feed Line 3pk","4.50","","","0.1","0","0","0",
"#44591788097826","PBLBGR3250S","Blumat Tank Connector 8 mm","5.00","","","0.1","0","0","0",
"#44591788032290","PBLBGR3249S","Blumat Tee Line & Dripper Junctions","5.00","","","0.1","0","0","0",
"#47087192342818","PCOBGR4052S","Blusoak 2.0 Drip Tape - 10m","60.00","","","0.1","0","0","0",
"#47087192375586","PCOBGR4052S-2","Blusoak 2.0 Drip Tape - 30m","150.00","","","0.1","0","0","0",
"#47087188312354","PBLBGR4051S","Blusoak 4x8' 120x240cm Double Manifold Kit","210.00","","","1","0","0","0",
"#47087186575650","PBLBGR4049S","Blusoak 4x8' 120x240cm Kit","185.00","","","1","0","0","0",
"#45223018201378","PBOGR3872S","Bokashi One Bokashi Mix 1kg","25.00","","","1","0","0","0",
"#45389128696098","PBUPGR3944S","Bud Trainer BudClips® 20pk","25.00","","","0.1","0","0","0",
"#45389133381922","PBU1PGR3945S","Bud Trainer BudHuggers - 16FT/5M","12.95","","","0.1","0","0","0",
"#45389133414690","PBU5PGR3946S","Bud Trainer BudHuggers - 50FT/15M","25.00","","","0.1","0","0","0",
"#46619793850658","PBUPGR3984S","BugsforBugs Blue Sticky Traps","1.99","","","0.1","0","0","0",
"#46620000157986","PBU1PGR3982S","BugsforBugs Yellow Sticky Traps - 1 pack","1.99","","","0.1","0","0","0",
"#46620000190754","PBU1PGR3983S","BugsforBugs Yellow Sticky Traps - 10 pack","17.50","","","0.1","0","0","0",
"#44591789244706","PCACGR3307S","Can-A-Wipes","20.00","","","0","0","0","0",
"#44608468713762","PCA2EGR3631S","Can-Fan Max-Fan - 200mm - 8",300.00"","300.00","","","0","0","0","0",
"#44608468746530","PCA2EGR3632S","Can-Fan Max-Fan - 250mm - 10",350.00"","350.00","","","0","0","0","0",
"#47281073652002","","Canna Aqua Clay 45L Bag","41.00","","","13.3","0","0","0",
"#47280512598306","","Canna Aqua Flores A&B - 10L","255.00","","","25","37","30","23",
"#44599337976098","PCA1NGR3219S","Canna Aqua Flores A&B - 1L","40.00","","","2.4","26","15","12",
"#44599338008866","PCA5NGR3220S","Canna Aqua Flores A&B - 5L","135.00","","","12.5","31","22","20",
"#47280754262306","","Canna Aqua Vega A&B - 2x 10L","275.00","","","25","37","30","23",
"#44599468753186","PCA1VGR3222S","Canna Aqua Vega A&B - 2x 1L","45.00","","","2.4","26","14","12",
"#44599468785954","PCA5VGR3223S","Canna Aqua Vega A&B - 2x 5L","140.00","","","12","31","22","20",
"#44591787442466","PCAFGR3231S","Canna Bio Boost","120.00","","","1.2","26","14","6",
"#45203880608034","PCA1GR3781S","Canna bio Vega - 1L","50.00","","","1.2","26","14","6",
"#47280980001058","","Canna Boost Accelerator - 10L","1300.00","","","12.5","30","23","18",
"#44600275140898","PCA1FGR3232S","Canna Boost Accelerator - 1L","150.00","","","1.2","26","14","6",
"#47280979968290","","Canna Boost Accelerator - 250mL","70.00","","","0.25","17","10","4",
"#44600275173666","PCA5FGR3233S","Canna Boost Accelerator - 5L","600.00","","","6","22","20","16",
"#47280889397538","","Canna Cannazym - 10L","450.00","","","12.5","30","23","18",
"#44601125470498","PCA1GR3242S","Canna Cannazym - 1L","55.00","","","1.2","26","14","6",
"#44601125437730","PCA2GR3241S","Canna Cannazym - 250ml","25.00","","","0.25","17","10","4",
"#44601125503266","PCA5GR3243S","Canna Cannazym - 5L","190.00","","","6","22","20","16",
"#44600366465314","PCA1NGR3625S","Canna Classic Flores A&B - 1L","45.00","","","2.4","26","14","12",
"#44600366530850","PCA2NGR3627S","Canna Classic Flores A&B - 20L","425.00","","","55","44","39","27",
"#44600366498082","PCA5NGR3626S","Canna Classic Flores A&B - 5L","135.00","","","12.5","31","22","20",
"#47379913507106","","Canna Classic Vega A&B - 10L","260.00","","","25","37","30","23",
"#44600533025058","PCA1VGR3217S","Canna Classic Vega A&B - 1L","45.00","","","2.4","26","14","12",
"#47280329457954","","Canna Classic Vega A&B - 20L","425.00","","","55","44","39","27",
"#44600533057826","PCA5VGR3218S","Canna Classic Vega A&B - 5L","140.00","","","12.5","31","22","20",
"#44600633884962","PCA2GR3224S","Canna Coco A&B - 2x 1L","40.00","","","2.4","26","14","12",
"#44600633950498","PCA2GR3226S","Canna Coco A&B - 2x 20L","450.00","","","55","44","39","27",
"#44600633917730","PCA2GR3225S","Canna Coco A&B - 2x 5L","140.00","","","12.5","31","20","20",
"#44600777113890","PCA1AGR3237S","Canna PK 13-14 - 10L","395.00","","","12.5","30","23","18",
"#44600777048354","PCA1AGR3235S","Canna PK 13-14 - 1L","45.00","","","1.2","26","14","6",
"#44600777015586","PCA2AGR3234S","Canna PK 13-14 - 250ml","20.00","","","0.25","17","10","4",
"#44600777081122","PCA5AGR3236S","Canna PK 13-14 - 5L","155.00","","","6","22","20","16",
"#44600947441954","PCA1GR3240S","Canna Rhizotonic - 10L","750.00","","","12.5","30","23","18",
"#44600947409186","PCA1GR3239S","Canna Rhizotonic - 1L","95.00","","","1.2","26","14","6",
"#44600947376418","PCA2GR3238S","Canna Rhizotonic - 250ml","45.00","","","0.25","17","10","4",
"#47280936943906","","Canna Rhizotonic - 5L","385.00","","","6","22","20","16",
"#44601071141154","PCA1GR3227S","Canna Terra Flores - 1L","35.00","","","1.2","26","14","6",
"#47280397746466","","Canna Terra Flores - 20L","375.00","","","27.5","39","27","22",
"#44601071173922","PCA5GR3228S","Canna Terra Flores - 5L","110.00","","","6","22","20","16",
"#47281029710114","","Canna Terra Professional Soil 50L","35.00","","","17","70","40","16",
"#44601119703330","PCA1GR3229S","Canna Terra Vega - 1L","35.00","","","1.2","26","14","6",
"#47280448766242","","Canna Terra Vega - 20L","350.00","","","27.5","39","27","22",
"#44601119736098","PCA5GR3230S","Canna Terra Vega - 5L","125.00","","","5","22","20","16",
"#46666117382434","PCAGR3990S","CannaBrush Trimming Brush","45.00","","","0.1","30","6","3",
"#45575963967778","PCHSGR3968S","Chikamasa Pruning Shears T-550","27.50","","","0.5","0","0","0",
"#45579352015138","PCHSGR3973S","Chikamasa Trimming Scissors","45.00","","","0.25","0","0","0",
"#44591803826466","PCHGGR3590S","Chillagoe Coarse Perlite 100L Bag","50.00","","","8","110","37","20",
"#44591793701154","PCOSGR3398S","CO2 Sensor for DimLux Maxi Controller","750.00","","","0","0","0","0",
"#45056998146338","PCR1AGR3698S","Crystal Clear - Coco Flush And Brix Enhancer - 1L","30.00","","","1","0","0","0",
"#45056998113570","PCR2AGR3697S","Crystal Clear - Coco Flush And Brix Enhancer - 250ml","14.00","","","0.25","0","0","0",
"#46934659793186","PCUGR4014S-3","Cultiv8 Flexible Propagation Heat Mat - Large","0.00","","","0","0","0","0",
"#46934659760418","PCUGR4014S-2","Cultiv8 Flexible Propagation Heat Mat - Medium","45.00","","","0.25","0","0","0",
"#46934659694882","PCUGR4014S","Cultiv8 Flexible Propagation Heat Mat - Small","35.00","","","0.25","0","0","0",
"#46934634070306","PCUCGR4013S","Cultiv8 Heat Mat Thermostat Temperature Controller","45.00","","","0.5","0","0","0",
"#47198403592482","PLAGR4110S","Deep Bowl Reflector | 900m","60.00","","","12","0","0","0",
"#44591784952098","PDIRGR3187S","Diamond Foil 1.2M X 30.5 M","120.00","","","20","0","0","0",
"#44591793537314","PDIGR3395S","DIMLUX 1000W DE EL PLUS (REPLACEMENT LAMP)","0.00","","","0","0","0","0",
"#44591793668386","PDICGR3397S","DimLux CO2 Regulator","300.00","","","0","0","0","0",
"#44591793602850","PDILGR3396S","Dimlux Daylight CMH 315W 3k Agro","150.00","","","0.25","0","0","0",
"#47168588218658","PEA1PGR4102S","Eazy Plug Block | 75 x 75 x 60mm - 1 ea","2.50","","","0.1","0","0","0",
